,Unnamed: 0,Year,BEV sales,PHEV sales,Total,Gasoline Price,Median Income,Population,Renewable Energy Use,Total Energy Use,Transportation Energy Use,Stations Opened,Lithium Price
16,1,2011,69,259,328,3.496,32857,12867783,313512,142886,985537,11.0,946
17,12,2012,371,1239,1610,3.566,31551,12883029,325082,143540,953332,91.0,744
18,23,2013,1482,1052,2534,3.468,31884,12895778,355226,141805,971209,45.0,684
19,34,2014,1033,1059,2092,3.303,32542,12885092,367756,141540,999845,39.0,606
20,45,2015,1325,729,2054,2.339,31300,12859585,353832,138620,1036075,57.0,393
21,56,2016,1522,1166,2688,2.056,29524,12821709,372881,141050,1033118,46.0,302
22,67,2017,2380,1432,3812,2.311,27084,12779893,375921,137196,1037119,58.0,226
23,78,2018,5428,1929,7357,2.596,26511,12724685,356868,142655,1037794,67.0,185
