,Unnamed: 0,Year,BEV sales,PHEV sales,Total,Gasoline Price,Median Income,Population,Renewable Energy Use,Total Energy Use,Transportation Energy Use,Stations Opened,Lithium Price
40,5,2011,18,517,535,3.496,32662,9883053,162105,105054,736892,42.0,946
41,16,2012,126,1860,1986,3.566,32267,9898289,162394,104818,725628,37.0,744
42,27,2013,368,2244,2612,3.468,32117,9914802,188635,103038,756667,13.0,684
43,38,2014,249,2651,2900,3.303,29937,9932033,202485,103314,748586,27.0,606
44,49,2015,300,1306,1606,2.339,30775,9934483,222957,102480,770712,26.0,393
45,60,2016,295,2187,2482,2.056,29472,9954117,216292,104468,779443,35.0,302
46,71,2017,738,2004,2742,2.311,27702,9976752,225338,101899,767838,33.0,226
47,82,2018,1623,1948,3571,2.596,26605,9987286,236433,104869,790737,65.0,185
