,Unnamed: 0,Year,BEV sales,PHEV sales,Total,Gasoline Price,Median Income,Population,Renewable Energy Use,Total Energy Use,Transportation Energy Use,Stations Opened,Lithium Price
32,4,2011,2,25,27,3.363,26312,4576244,112139,86369,622556,3.0,946
33,15,2012,36,136,172,3.416,25439,4602067,109589,84731,564410,25.0,744
34,26,2013,73,67,140,3.299,25299,4626040,126191,85808,550152,2.0,684
35,37,2014,71,85,156,3.136,22405,4645938,149561,90628,527984,5.0,606
36,48,2015,78,64,142,2.164,22861,4666998,132249,91676,534889,6.0,393
37,59,2016,110,160,270,1.915,20497,4681346,154742,91453,567610,18.0,302
38,70,2017,123,160,283,2.179,21349,4673673,142085,91206,611866,18.0,226
39,81,2018,392,221,613,2.446,20890,4664450,143244,94186,578848,23.0,185
