,Unnamed: 0,Year,BEV sales,PHEV sales,Total,Gasoline Price,Median Income,Population,Renewable Energy Use,Total Energy Use,Transportation Energy Use,Stations Opened,Lithium Price
48,6,2011,9,336,345,3.496,33682,5346620,310099,68533,458085,22.0,946
49,17,2012,113,1092,1205,3.566,30981,5377500,306238,67989,465948,21.0,744
50,28,2013,274,551,825,3.468,29479,5414722,305495,68644,469614,30.0,684
51,39,2014,258,341,599,3.303,31465,5452665,339733,68719,471826,33.0,606
52,50,2015,294,243,537,2.339,30185,5484002,344806,66579,471947,30.0,393
53,61,2016,554,529,1083,2.056,29087,5525360,349766,66546,495770,30.0,302
54,72,2017,738,660,1398,2.311,28082,5569283,361559,67153,498582,30.0,226
55,83,2018,1866,987,2853,2.596,26443,5608762,364063,68708,498716,58.0,185
