,Unnamed: 0,Year,BEV sales,PHEV sales,Total,Gasoline Price,Median Income,Population,Renewable Energy Use,Total Energy Use,Transportation Energy Use,Stations Opened,Lithium Price
0,0,2011,2,20,22,3.363,23039,2941038,124987,47928,284546,18.0,946
1,11,2012,8,111,119,3.416,23882,2952876,114237,46860,275070,,744
2,22,2013,24,74,98,3.299,23435,2960459,121335,46683,273950,8.0,684
3,33,2014,41,78,119,3.136,22786,2968759,119830,47080,277631,4.0,606
4,44,2015,30,46,76,2.164,21433,2979732,117840,46465,275130,2.0,393
5,55,2016,44,94,138,1.915,20172,2991815,115418,46188,281967,9.0,302
6,66,2017,72,115,187,2.179,18827,3003855,116688,46086,283888,6.0,226
7,77,2018,260,175,435,2.446,18730,3012161,126114,49603,284863,25.0,185
