,Unnamed: 0,Year,BEV sales,PHEV sales,Total,Gasoline Price,Median Income,Population,Renewable Energy Use,Total Energy Use,Transportation Energy Use,Stations Opened,Lithium Price
64,7,2011,2,10,12,3.363,22191,2979147,66403,49338,321859,,946
65,18,2012,21,58,79,3.416,20570,2984599,79602,48388,347785,23.0,744
66,29,2013,11,40,51,3.299,19475,2989839,64706,48782,315053,,684
67,40,2014,13,24,37,3.136,20178,2991892,64569,49409,318559,,606
68,51,2015,13,28,41,2.164,19917,2990231,60390,48692,334237,3.0,393
69,62,2016,27,43,70,1.915,18166,2990595,78068,49050,340739,7.0,302
70,73,2017,54,74,128,2.179,18513,2990674,70950,47829,333442,13.0,226
71,84,2018,113,118,231,2.446,16513,2982879,76541,50390,335769,13.0,185
