,Unnamed: 0,Year,BEV sales,PHEV sales,Total,Gasoline Price,Median Income,Population,Renewable Energy Use,Total Energy Use,Transportation Energy Use,Stations Opened,Lithium Price
56,8,2011,1,85,86,3.496,28682,6011182,103120,84255,563706,16.0,946
57,19,2012,123,358,481,3.566,27361,6026027,91813,82435,544525,10.0,744
58,30,2013,291,325,616,3.468,27926,6042989,109991,83407,549433,5.0,684
59,41,2014,256,427,683,3.303,27332,6059130,112955,83878,558250,4.0,606
60,52,2015,275,247,522,2.339,26497,6075411,105367,81504,558486,48.0,393
61,63,2016,472,398,870,2.056,23443,6091384,105508,78618,569641,56.0,302
62,74,2017,610,540,1150,2.311,23720,6111382,116362,76461,565686,109.0,226
63,85,2018,1523,745,2268,2.596,21925,6125986,130773,82056,566088,28.0,185
